card_id,chinese,pinyin,english
CGxQ1AtffbApMNjgiZrs5k,很高兴再次见到你。,hěn gāo xìng zài cì xiàn dào nǐ。,I'm glad to see you again.
uFeMhUOw0KEdrEfxqRUaLd,她一直想成名。,tā yī zhí xiǎng chéng míng。,She has always been desirous of fame.
QyaBYKOm1yzSJPUSxpG7Eb,我不明白你的意思。,wǒ bù míng bái nǐ de yì si。,I can't apprehend your meaning.
xtSqQOzsibl6XU0pwYnOak,只剩下一听肉了。,zhǐ shèng xià yī tìng ròu le。,There is only one can of meat left.
b2fdAFyFPpPtXLqPimbvvn,医生一会儿就到。,yī shēng yī huìr jiù dào。,The doctor will be here presently.
Nu1UYdshN4j1UcgnGAaiUj,我的手表走时准确。,wǒ de shǒu biǎo zǒu shí zhǔn què。,My watch keeps good time.
DwM8ucYF2Flx67YIe43cAg,我跳舞一点儿也不行。,wǒ tiào wǔ yī diǎnr yě bù xìng。,I'm no good at dancing.
S5dEDKatciWF6HlCRFVfIo,我们游遍全国各地.,wǒ men yóu biàn quán guó gè dì.,We travelled all over the country.
rC5h1kLAobzyCrwykqxDQK,这听上去挺不错的。,zhè tìng shàng qù tǐng bù cuò de。,It sounds quite all right.
y5TRz8ngAsVWonuKw5yL5L,我知道发生了什么事。,wǒ zhī dào fā shēng le shén me shì。,I know what happened.
kxOUQ54BS0J3xdk8JqtR4G,我的日语相当差。,wǒ de rì yǔ xiāng dāng cī。,My knowledge of Japanese is rather poor.
YvHaYYn0ISTTwIho6JYkHu,我想预定一个房间。,wǒ xiǎng yù dìng yī gè fáng jiān。,I want to reserve a room.
AyHktUi7G2GnlDaw5sKHfr,她把头发拍整齐了.,tā bǎ tóu fà pāi zhěng qí le.,She patted her hair into place/shape.
QyWJ0LgwtrVekdrT1CuK2N,他是一个数学天才。,tā shì yī gè shù xué tiān cái。,He is a mathematical genius.
jgBkQC4pbWaEXqc4BhlReX,我最近没有看到他。,wǒ zuì jìn méi yǒu kàn dào tā。,I haven't seen him recently.
Y7dCNBfCnkOZMiA8HymB81,要么进来，要么出去。,yào me jìn lái， yào me chū qù。,Either come in or go out.
kZbklTiD1zhIymXxKnwQXY,很高兴再次见到你。,hěn gāo xìng zài cì xiàn dào nǐ。,I'm glad to see you again.
a8MjFQO1Qq88nOJwzi6sL6,从前有一个公主.,cóng qián yǒu yī gè gōng zhǔ.,Once upon a time there was a princess.
gbNvWKBYvkoUO4FAfrEVm2,我只想说对不起。,wǒ zhǐ xiǎng shuō duì bù qǐ。,I want to say nothing but sorry.
Ba7bLOY7achN4Zbjf4pdeJ,男孩很快地跑上楼。,nán hái hěn kuài de pǎo shàng lóu。,The boy ran upstairs quickly.
cQxhdfnOlmBMfuocRhOGbR,我解答不了这个难题。,wǒ jiě dá bù liǎo zhè gè nán tí。,I can't solve the problem.
jAkCMRmfYWi3nXA0bCXMZP,她在一所中学学习。,tā zài yī suǒ zhōng xué xué xí。,She studies in a high school.
pyyS54hBkyBlUgRwnBeyCM,发言共占去三小时.,fā yán gòng zhàn qù sān xiǎo shí.,The speeches occupied three hours.
PTRz7qwXvsdfeYbVcwJxMe,我的头发长得很长了。,wǒ de tóu fa zhǎng de hěn zhǎng le。,My hair has grown very long.
6zed5aqBMv2CvuT3kOgMds,这些药对你有好处。,zhè xie yào duì nǐ yǒu hǎo chu。,This medicine will do you good.
bR3onBmujvTRz6vJsww6mg,这次考试比较容易。,zhè cì kǎo shì bǐ jiào róng yì。,The exam was relatively easy.
aqEdSkSC3PCYam58P15teC,这是一个寒冷的早晨。,zhè shì yī gè hán lěng de zǎo chén。,It's a chilly morning.
PKPMkn3bktoyWaG3H7unPL,四月是种树的时候。,sì yuè shì zhòng shù de shí hou。,April is the time to plant trees.
qnfj4z8owAXwYl2Xh5edcb,教堂在学校附近。,jiào táng zài xué xiào fù jìn。,The church is close to the school.
VPTC5CaNGHFevuLRAuPL10,今天暖和一点儿了.,jīn tiān nuǎn huó yī diǎnr le.,The weather is a bit warmer today.
LBNChU6e1Maqrhat1flgDD,星期日是我休息的日子。,xīng qī rì shì wǒ xiū xi de rì zi。,Sunday is my rest day.
BagwlsHSCD44IFj1gssCl5,那条河长300公里。,nà tiáo hé zhǎng300 gōng lǐ。,The river is 300 kilometers in length.
ZrBuQj1Psfxfx7rR21HPiz,嗯，但是你必须等我。,ēn， dàn shì nǐ bì xū děng wǒ。,"Mmm, but you must wait for me."
zvbCqCJYfL3s51YzKetmF0,我母亲已经五十岁了。,wǒ mǔ qīn yǐ jīng wǔ shí suì le。,My mother is fifty years old.
aGM773XhA47oJca6EoK73t,我想买一个新床单。,wǒ xiǎng mǎi yī gè xīn chuáng dān。,I want to buy a new bed linen.
FOL8k3x5RcuNR2JbDkpecA,房间里挤满了客人。,fáng jiān lǐ jǐ mǎn le kè ren。,The room was crowded with guests.
zs7JQgASepqPaN7K1VkjKl,他提出了一种新理论。,tā tí chū le yī zhòng xīn lǐ lùn。,He put forward a new theory.
The06jMud1yAGtQUT8PaV5,我不知道确切的日子。,wǒ bù zhī dào què qiè de rì zi。,I don't know the exact date.
ICq17hFSkvajdY4EnIoaMh,我有一辆红色的自行车。,wǒ yǒu yī liàng hóng sè de zì xíng chē。,I have a red bike.
CfLaZLO0kYymhogzq06bst,日本在中国的东面。,Rì běn zài Zhōng guó de dōng miàn。,Japan lies to the east of China.
X3h3xb8g8I7avQ7SiVnIXL,他假装没有听见我。,tā jiǎ zhuāng méi yǒu tīng jiàn wǒ。,He affected not to hear me.
JgOS1Vq5eJOvoPRYX6V4CJ,那儿有些彩色的气球。,nà r yǒu xiē cǎi sè de qì qiú。,There are some color balloons.
Qr7aKLMvPEdZFeCTrWJpIr,我的爱人很会做饭。,wǒ de ài ren hěn kuài zuò fàn。,My wife is very useful at cooking.
cV3T1hZax3fJUeCeKeWbQa,她正找电灯开关。,tā zhèng zhǎo diàn dēng kāi guān。,She is fumbling the light switch.
ByIqloCOrHNj2wMhspUtlY,没有人想碰到麻烦。,méi yǒu rén xiǎng pèng dào má fan。,No one liked to have trouble.
M85YCaP3c1YEnKmBGBb6Pe,他了解人民的意向。,tā liǎo jiě rén mín de yì xiàng。,He knew the pulse of the people.
VqsLPXdcS1UISDa6eDvtQw,直到他来我才离开。,zhí dào tā lái wǒ cái lí kāi。,It was not until he came that I left.
A6yAHBZ7sEfhwanalYNqQz,我深爱我的祖国。,wǒ shēn ài wǒ de zǔ guó。,I love my country with every fiber of my being.
nbcTKwLceaFbcOTr0FL25N,我儿子上小学三年级.,wǒ ér zi shàng xiǎo xué sān nián jí.,My son's in the third grade.
7aVJkT55jhRTWPMgMJTw2h,她的故事使我很感动。,tā de gù shì shǐ wǒ hěn gǎn dòng。,I was very moved by her story.
uVHJIsN2OvCiaj3MCavpNb,他能跑得和我一样快。,tā néng pǎo de huò wǒ yí yàng kuài。,He can run as fast as I can.
1bq1sTxSVKTRqTNaOLYAm8,那位技师技术很好。,nà wèi jì shī jì shù hěn hǎo。,That technician is highly skilled.
3lL6KAsEAspcN0ZgnvRTNN,现代的人想法不同。,xiàn dài de rén xiǎng fǎ bù tóng。,People today think differently.
BSx3F3dor3jcaNIKA68eKF,我深爱我的祖国。,wǒ shēn ài wǒ de zǔ guó。,I love my country with every fiber of my being.
WYD6MJpx40trgQUCwIyc34,他在一所中学工作。,tā zài yī suǒ zhōng xué gōng zuò。,He works in a secondary school.
AtaDg0bWqXueF2TM6iWjpS,这大概正是我要做的。,zhè dà gài zhèng shì wǒ yào zuò de。,Maybe that's what I'll do.
hPXHENpnyRwbshFQjZyUm6,当我像你这样年纪时...,dàng wǒ xiàng nǐ zhè yàng nián jì shí...,When I was your age...
ju51bByUrBxxFBifCJRjIc,他们正在准备考试。,tā men zhèng zài zhǔn bèi kǎo shì。,They were girding for the exam.
l8IknFzGEXzFFkSkQAnpMg,"门一开, 她走了进来。","mén yī kāi,  tā zǒu le jìn lái。",The door opened and she came in.
axzJ4KFJzjvzNYcHPGZKyR,我十二点出去吃午饭。,wǒ shí èr diǎn chū qù jí wǔ fàn。,I go out for lunch at twelve.
Tgem6HgPQDjFavKaU8OktA,我必须立刻开始工作。,wǒ bì xū lì kè kāi shǐ gōng zuò。,I must start working at once.
wzpfKxzFqISd6kHSGXoqoN,他的痛苦现在已经过去。,tā de tòng kǔ xiàn zài yǐ jīng guò qu。,His pain is past now.
pXQxLRkBqPrBAneunW0XNc,他只是一个三岁的孩子。,tā zhǐ shì yī gè sān suì de hái zi。,He is only a child of three.
t6iSlmclaTjNgdQsvAkb6d,我深爱我的祖国。,wǒ shēn ài wǒ de zǔ guó。,I love my country with every fiber of my being.
jgAXXPc6wnozsECYa2ZTHa,我正准备打电话给你。,wǒ zhèng zhǔn bèi dǎ diàn huà jǐ nǐ。,I was just about to call you.
jXnXkUKKzPXOMPeRX6AWMA,我累得再也走不动了。,wǒ lèi de zài yě zǒu bù dòng le。,I was too tired to walk any further.
GTrcFA0heEvVn68MMyOtZ1,我昨天买了好几本书。,wǒ zuó tiān mǎi le hǎo jǐ běn shū。,I bought several books yesterday.
SGlmzR8PThcbGr2JPaElu7,一小时之内我就会到。,yī xiǎo shí zhī nèi wǒ jiù kuài dào。,I'll be coming within an hour.
2S0bMjcau73pqyPxq5wapU,那事已提前安排好了。,nà shì yǐ tí qián ān pái hào le。,It had been arranged beforehand.
czP2ToxHC8l7pyS6IiotcM,晚饭时他吃了一些米饭。,wǎn fàn shí tā jí le yī xiē mǐ fàn。,He had some rice for supper.
IM2zkhKQ0kr4aZbmjkZfpi,我累得再也走不动了。,wǒ lèi de zài yě zǒu bù dòng le。,I was too tired to walk any further.
L578kLkl2D1JRgBWCdf47s,今天看上去是个晴天。,jīn tiān kàn shàng qù shì gè qíng tiān。,Looks like a fine day today.
O2nXXSjievktZYTEj5uNo1,每个人都是注定要死的。,měi gè rén dōu shì zhù dìng yào sǐ de。,Everyone is doomed to die.
JQ86Rx58o1CtdFFSappriL,吃饭前，我必须洗手。,chī fàn qián， wǒ bì xū xǐ shǒu。,I must wash my hands before dinner.
FzUtN0PbAzAG8Glyqquc7R,在这河里游泳危险。,zài zhè hé lǐ yóu yǒng wēi xiǎn。,This river is dangerous to bathe in.
1raERObIoYHafSkBMbENgt,我确实很好，谢谢您。,wǒ què shí hěn hǎo， xiè xie nín。,"I'm very well indeed, thank you."
8kWgKsyTdFUAPjPqSt668p,代我向你们全家问好。,dài wǒ xiàng nǐ men quán jiā wèn hǎo。,Give my best to your family.
a0totSsD7xRqNiMfMWcWWR,春雨带来了夏日百花。,chūn yǔ dài lái le xià rì bǎi huā。,Spring rains bring summer flowers.
NX8DnDWYaZhA3o118akM4R,这是本有教育意义的书。,zhè shì běn yǒu jiào yù yì yì de shū。,This is an instructive book.
AA5InmAt8qrHqyOBckvKXa,孩子们喜欢户外活动。,hái zi men xǐ huan hù wài huó dòng。,Children like outdoor activities.
cayxaFMvayCHNYrI6aWgmz,许多灯照亮了街道。,xǔ duō dēng zhào liàng le jiē dào。,The street is illumined by many lights.
hHVCaz2vnEefuxQJbJTTFT,你说的有几分是真实的。,nǐ shuō de yǒu jǐ fèn shì zhēn shí de。,What you say is partly true.
sJqFrP2aK7dhq6aocS3dk0,不要把过去的事都翻出来。,bù yào bǎ guò qu de shì dōu fān chū lai。,Don't rake up the past.
W1K3qBPjd1UKr5GArKcoeQ,她会说日语和英语。,tā kuài shuō rì yǔ huò Yīng yǔ。,She can speak Japanese as well as English.
GWs6B0O8E666b36afXPQm2,他到十一点才回家。,tā dào shí yī diǎn cái huí jiā。,Not until eleven o'clock did he come home.
jkDgMsUgGrNNVqVSASNGtG,那男孩忽然哭了起来。,nà nán hái hū rán kū le qǐ lai。,The boy began crying all of a sudden.
ENmZHc7d2cpETWDh7oLrdE,我们正向家的方向走去。,wǒ men zhèng xiàng jiā de fāng xiàng zǒu qù。,We are heading home.
k68KXvftgZHnFp8EtFkYQH,他到十一点才回家。,tā dào shí yī diǎn cái huí jiā。,Not until eleven o'clock did he come home.
SRSl7uDXlWCko12TycPs1O,她离开一个多钟头了.,tā lí kāi yī gè duō zhōng tóu le.,She left little more than an hour ago.
7TAv2kWoDeSqiDpNqe075Z,他是一个体育运动爱好者。,tā shì yī gè tǐ yù yùn dòng ài hào zhě。,He is a sports buff.
ch5jSuiC6xUDTI1QGGTltE,气候影响了他的健康。,qì hòu yǐng xiǎng le tā de jiàn kāng。,The climate affected his health.
