No,Word,Pinyin,Chinese_Sentence,English_Translation
57,打车,wǒ yào dǎ chē qù fēi jī chǎng.,我要打车去飞机场。,I'm going to take a taxi to the airport.
58,打电话,wǒ xū yào dǎ diàn huà gěi gù kè.,我需要打电话给顾客。,I need to make a phone call to the customer.
59,打开,qǐng dǎ kāi kōng tiáo.,请打开空调。,Please turn on the air conditioner.
60,打球,wǒ xǐ huan hé péng you dǎ qiú.,我喜欢和朋友打球。,I like to play ball with my friends.
61,大,tā de fáng zi hěn dà.,他的房子很大。,His house is big.
62,大学,wǒ míng nián yào shēn qǐng dà xué.,我明年要申请大学。,I'm going to apply to a university next year.
63,大学生,xiàn zài de dà xué shēng yā lì hěn dà.,现在的大学生压力很大。,University students of today are under a lot of pressure.
64,到,wǒ wǔ fēn zhōng hòu dào.,我五分钟后到。,I will arrive in five minutes.
65,得到,tā xiǎng dé dào jiǎng xué jīn.,他想得到奖学金。,He wants to get the scholarship.
66,地,tā shāng xīn de kū le.,她伤心地哭了。,She cried sadly.
67,的,zhè shì ào lì de shǒu jī.,这是奥利的手机。,This is Ollie's phone.
68,等,wǒ huì děng nǐ de.,我会等你的。,I will wait for you.
69,地,yào shi zài dì shang.,钥匙在地上。,The key is on the ground.
70,地点,huì yì dì diǎn zài nǎ lǐ？,会议地点在哪里？,Where's the meeting location?
71,地方,zhè gè dì fang zhēn piào liang.,这个地方真漂亮。,This place is so beautiful.
72,地上,dì shang yǒu hěn duō shuǐ.,地上有很多水。,There is a lot of water on the ground.
73,地图,zhè shì zhōng guó dì tú.,这是中国地图。,This is a map of China.
74,弟弟 / 弟,wǒ yǒu yí gè dì di.,我有一个弟弟。,I have a younger brother.
75,第...,zhè shì wǒ dì wǔ cì lái zhōng guó.,这是我第五次来中国。,This is my fifth visit to China.
76,点,xiàn zài sān diǎn le.,现在三点了。,It's three o'clock now.
77,电,méi yǒu diàn.,没有电。,No electricity.
78,电话,nǐ de diàn huà hào mǎ shì duō shao？,你的电话号码是多少？,What is your phone number?
79,电脑,wǒ yào mǎi yī tái diàn nǎo.,我要买一台电脑。,I want to buy a computer.
80,电视,tā měi tiān kàn diàn shì.,他每天看电视。,He watches TV every day.
81,电视机,wǒ de diàn shì jī huài le.,我的电视机坏了。,My TV is broken.
82,电影,wǒ zuó tiān kàn le yí bù diàn yǐng.,我昨天看了一部电影。,I watched a movie yesterday.
83,电影院,diàn yǐng yuàn zài nǎ lǐ？,电影院在哪里？,Where is the cinema?
84,东,fáng zi cháo dōng.,房子朝东。,The house faces east.
85,东边,chē kù zài fáng zi de dōng bian.,车库在房子的东边。,The garage is on the east side of the house.
86,东西,tā mǎi le hěn duō dōng xi.,他买了很多东西。,He bought a lot of things.
87,动,bié dòng.,别动。,Don't move.
88,动作,tā xǐ huan kàn dòng zuò piàn.,他喜欢看动作片。,He likes to watch action movies.
89,都,wǒ men dōu shì péng you.,我们都是朋友。,We are all friends.
90,读,qǐng dú zhè jù huà.,请读这句话。,Please read this sentence.
91,读书,tā xǐ huan dú shū.,他喜欢读书。,He likes reading.
92,对,nǐ zuò duì le.,你做对了。,You did it right.
93,对不起,duì bu qǐ.,对不起。,Sorry.
94,多,hē lǜ chá hǎo chù duō.,喝绿茶好处多。,Drinking green tea has many benefits.
95,多少,zhè gè duō shao qián？,这个多少钱？,How much is this?
96,饿,wǒ è le.,我饿了。,I'm hungry.
97,儿子,nǐ de ér zi zhēn kě ài.,你的儿子真可爱。,Your son is so cute.
98,二,lì xī lǜ shì bǎi fēn zhī èr.,利息率是百分之二。,The interest rate is two percent.
99,饭,wǒ chī le sān wǎn fàn.,我吃了三碗饭。,I ate three bowls of rice.
100,饭店,zhè jiā fàn diàn de cài hěn guì.,这家饭店的菜很贵。,The food in this restaurant is expensive.
101,房间,wǒ de fáng jiān hěn luàn.,我的房间很乱。,My room is messy.
102,房子,tā de fáng zi hěn hǎo.,他的房子很好。,His house is nice.
103,放,wǒ bǎ qián fàng zài qián bāo lǐ.,我把钱放在钱包里。,I put the money in my wallet.
104,放假,nǐ xiǎng fàng jià ma？,你想放假吗？,Do you want to have a holiday?
105,放学,tā měi tiān sì diǎn fàng xué.,他每天四点放学。,He finishes school at four o'clock every day.
106,飞,nǐ huì fēi ma？,你会飞吗？,Can you fly?
107,飞机,tā xiǎng mǎi yī jià fēi jī.,他想买一架飞机。,He wants to buy a plane.
108,非常,fēi cháng hǎo！,非常好！,Very good!
109,分,tā shù xué kǎo shì dé le bā shí fēn.,他数学考试得了八十分。,He got eighty points on his math test.
110,风,jīn tiān méi yǒu fēng.,今天没有风。,There is no wind today.
111,干,wà zi gān le.,袜子干了。,The socks are dry.
112,干净,tā de jiā hěn gān jìng.,她的家很干净。,Her home is clean.
113,干,nǐ bì yè hòu xiǎng gàn shén me？,你毕业后想干什么？,What do you want to do after graduation?
114,干什么,nǐ zài gàn shén me？,你在干什么？,What are you doing?
115,高,zhè zuò shān hěn gāo.,这座山很高。,This mountain is very high.
116,高兴,wǒ hěn gāo xìng.,我很高兴。,I'm happy.
117,告诉,bié gào su tā.,别告诉她。,Don't tell her.
118,哥哥 / 哥,wǒ gē ge shì lǎo shī.,我哥哥是老师。,My elder brother is a teacher.
119,歌,nǐ huì chàng zhè shǒu gē ma？,你会唱这首歌吗？,Can you sing this song?
120,个,wǒ yào mǎi wǔ gè xī guā.,我要买五个西瓜。,I want to buy five watermelons.
121,给,qǐng gěi wǒ yī bēi shuǐ.,请给我一杯水。,Please give me a glass of water.
122,跟,wǒ gēn nǐ yī qǐ qù.,我跟你一起去。,I will go with you.
123,工人,gōng rén dōu xià bān le.,工人都下班了。,The workers are all off work.
124,工作,wǒ jīn tiān de gōng zuò hěn duō.,我今天的工作很多。,I have a lot of work today.
125,关,qǐng guān mén.,请关门。,Please close the door.
126,关上,jì dé bǎ shǒu jī guān shang.,记得把手机关上。,Remember to turn off your cell phone.
127,贵,fáng zū tài guì le.,房租太贵了。,The rent is too expensive.
128,国,nǐ shì nǎ guó rén？,你是哪国人？,Which country are you from?
129,国家,zhōng guó shì yī gè lì shǐ yōu jiǔ de guó jiā.,中国是一个历史悠久的国家。,China is a country with a long history.
130,国外,tā zài guó wài xué xí.,他在国外学习。,He is studying abroad.
131,过,tā guò le kǒu yǔ kǎo shì.,他过了口语考试。,He passed the speaking test.
132,还,wǒ hái méi zuò wán.,我还没做完。,I'm not done yet.
133,还是,nǐ yào kā fēi hái shì chá？,你要咖啡还是茶？,Do you want coffee or tea?
134,还有,dǒng shǒu yǔ de，chú le wǒ hái yǒu sān gè rén.,懂手语的，除了我还有三个人。,There are three people besides me who know sign language.
135,孩子,tā yǒu wǔ gè hái zi.,她有五个孩子。,She has five children.
136,汉语,tā huì shuō hàn yǔ.,他会说汉语。,He can speak Mandarin Chinese.
137,汉字,tā jīn tiān xué le shí gè hàn zì.,他今天学了十个汉字。,He learned ten Chinese characters today.
138,好,tā shì yí gè hǎo lǎo shī.,她是一个好老师。,She is a good teacher.
139,好吃,zhè qiǎo kè lì zhēn hǎo chī.,这巧克力真好吃。,This chocolate is so delicious.
140,好看,zhè gè hǎo kàn ma？,这个好看吗？,Does this look good?
141,好听,zhè shǒu gē hǎo tīng ma？,这首歌好听吗？,Is this song good (pleasant to hear)?
142,好玩儿,zhè gè yóu xì zhēn hǎo wánr.,这个游戏真好玩儿。,This game is really fun.
143,号,jīn tiān jǐ hào？,今天几号？,What's the date today?
144,喝,nǐ hē kā fēi ma?,你喝咖啡吗?,Do you drink coffee?
145,和,wǒ xǐ huan hēi sè hé bái sè.,我喜欢黑色和白色。,I like black and white.
146,很,tā de chē hěn guì.,她的车很贵。,Her car is (very) expensive.
147,后,xià bān hòu，nǐ lái wǒ jiā.,下班后，你来我家。,"After work, you come to my place."
148,后边,chē zhàn zài jiǔ diàn hòu bian.,车站在酒店后边。,The station is behind the hotel.
149,后天,wǒ hòu tiān qù hǎi nán.,我后天去海南。,I'm going to Hainan the day after tomorrow.
150,花,nǐ xǐ huan zhè duǒ huā ma？,你喜欢这朵花吗？,Do you like this flower?
151,话,wǒ bù míng bai tā de huà.,我不明白他的话。,I don't understand his words.
152,坏,xī yān shì gè huài xí guàn.,吸烟是个坏习惯。,Smoking is a bad habit.
153,还,nǐ shén me shí hou hái chē？,你什么时候还车？,When will you return the car?
154,回,nǐ shén me shí hou huí zhōng guó？,你什么时候回中国？,When will you go back to China?
155,回答,qǐng nǐ huí dá.,请你回答。,Please answer.
156,回到,tā xiǎng huí dào shàng hǎi.,他想回到上海。,He wants to return to Shanghai.
157,回家,nǐ jǐ diǎn huí jiā？,你几点回家？,What time do you go home?
158,回来,nǐ shén me shí hou huí lái？,你什么时候回来？,When will you come back?
159,回去,nǐ zěn me huí qù？,你怎么回去？,How do you go back?
160,会,nǐ huì shuō zhōng wén ma？,你会说中文吗？,Can you speak Chinese?
161,火车,wǒ zuò huǒ chē qù shēn zhèn.,我坐火车去深圳。,I take the train to Shenzhen.
162,机场,wǒ zài jī chǎng.,我在机场。,I'm at the airport.
163,机票,nǐ dìng jī piào le ma？,你订机票了吗？,Have you booked an air ticket?
164,鸡蛋,nǐ xǐ huan chī jī dàn ma？,你喜欢吃鸡蛋吗？,Do you like to eat eggs?
165,几,nǐ yào jǐ bēi kā fēi？,你要几杯咖啡？,How many cups of coffee do you want?
166,记,qǐng jì xià zhè xiē hàn zì.,请记下这些汉字。,Please note down these Chinese characters.
167,记得,nǐ jì de wǒ ma？,你记得我吗？,Do you remember me?
168,记住,wǒ huì jì zhù de.,我会记住的。,I will remember.
169,家,wǒ zài jiā zài pǔ dōng.,我的家在浦东。,My home is in Pudong.
170,家里,wǒ de yào shi zài jiā lǐ.,我的钥匙在家里。,My keys are at home.
171,家人,nǐ de jiā rén hǎo ma？,你的家人好吗？,How is your family?
172,间,wǒ yào dìng sān jiān dān rén fáng.,我要订三间单人房。,I want to book three single rooms.
173,见,nǐ xiǎng jiàn wǒ ma？,你想见我吗？,Do you want to see me?
174,见面,wǒ men zài nǎ lǐ jiàn miàn？,我们在哪里见面？,Where shall we meet?
175,教,nǐ kě yǐ jiāo wǒ ma？,你可以教我吗？,Can you teach me?
176,叫,nǐ kě yǐ jiào wǒ Angel.,你可以叫我Angel。,You can call me Angel.
177,教学楼,wǒ de shū zài jiào xué lóu.,我的书在教学楼。,My book is in the teaching building.
178,姐姐 / 姐,wǒ jiě jie shì hù shì.,我姐姐是护士。,My elder sister is a nurse.
179,介绍,ràng wǒ jiè shào yí xià.,让我介绍一下。,Let me introduce.
180,今年,wǒ jīn nián yào qù zhōng guó.,我今年要去中国。,I am going to China this year.
181,今天,jīn tiān xīng qī jǐ？,今天星期几？,What day is it today?
182,进,tā jìn le jiào shì.,他进了教室。,He entered the classroom.
183,进来,nǐ xiǎng jìn lái hē bēi kā fēi ma？,你想进来喝杯咖啡吗？,Would you like to come in for a coffee?
184,进去,wǒ yào jìn qù.,我要进去。,I want to go in.
185,九,zhè zhī bǐ jiǔ kuài qián.,这支笔九块钱。,This pen costs 9 yuan.
186,就,wǒ dào le，jiù gěi nǐ dǎ diàn huà.,我到了，就给你打电话。,I'll call you as soon as I arrive.
187,觉得,nǐ jué de zěn me yàng？,你觉得怎么样？,What do you think?
188,开,qǐng kāi mén.,请开门。,Please open the door
189,开车,nǐ huì kāi chē ma？,你会开车吗？,Can you drive?
190,开会,wǒ men jǐ diǎn kāi huì？,我们几点开会？,What time do we have a meeting?
191,开玩笑,nǐ xǐ huan kāi wán xiào ma？,你喜欢开玩笑吗？,Do you like to joke?
192,看,kàn！ yī tiáo cǎi hóng.,看！一条彩虹。,Look! A rainbow.
193,看病,wǒ yào qù kàn bìng.,我要去看病。,I'm going to see a doctor.
194,看到,nǐ kàn dào le ma？,你看到了吗？,Did you see it?
195,看见,wǒ méi kàn jiàn.,我没看见。,I didn't see it.
196,考,wǒ lái kǎo nǐ yí xià.,我来考你一下。,I'll test you.
197,考试,nǐ zuó tiān de kǎo shì zěn me yàng？,你昨天的考试怎么样？,How was your exam yesterday?
198,渴,wǒ kě le.,我渴了。,I'm thirsty.
199,课,wǒ xǐ huan nǐ de kè.,我喜欢你的课。,I like your course / lesson.
200,课本,zhè shì nǐ de kè běn.,这是你的课本。,This is your textbook.
201,课文,nǐ kě yǐ dú kè wén ma？,你可以读课文吗？,Can you read the text?
202,口,nǐ de kǒu téng ma？,你的口疼吗？,Does your mouth hurt?
203,块,wǒ chī le wǔ kuài dàn gāo.,我吃了五块蛋糕。,I ate five pieces of cake.
204,快,tā pǎo de kuài.,他跑得快。,He runs fast.
205,来,nǐ xiǎng lái wǒ jiā dǎ yóu xì ma？,你想来我家打游戏吗？,Do you want to come to my place to play games?
206,来到,tā qù nián lái dào zhōng guó.,他去年来到中国。,He came to China last year.
207,老,tā men shì lǎo péng you.,他们是老朋友。,They are old friends.
208,老人,nà gè lǎo rén shēn tǐ hěn hǎo.,那个老人身体很好。,The old man is in good health.
209,老师,nǐ de lǎo shī zěn me yàng？,你的老师怎么样？,How is your teacher?
210,了,xià yǔ le.,下雨了。,It's raining now.
211,累,nǐ lèi ma？,你累吗？,Are you tired?
212,冷,jīn tiān hěn lěng.,今天很冷。,It's cold today.
213,里,wǒ de hù zhào zài bāo lǐ.,我的护照在包里。,My passport is in the bag.
214,里边,gōng yuán lǐ bian yǒu yí gè hú,公园里边有一个湖。,There is a lake in the park.
215,两,wǒ yǒu liǎng tái diàn nǎo.,我有两台电脑。,I have two computers.
216,零,cóng líng kāi shǐ.,从零开始。,Start from zero.
217,六,wǒ yào liù gè jiǎo zi.,我要六个饺子。,I want six dumplings.
218,楼,nǐ zhù zài jǐ lóu？,你住在几楼？,Which floor do you live on?
219,楼上,wǒ zài lóu shàng.,我在楼上。,I'm upstairs.
220,楼下,lóu xià yǒu gè chāo shì.,楼下有个超市。,There is a supermarket downstairs.
221,路,huái hǎi lù zài nǎ lǐ？,淮海路在哪里？,Where is Huaihai Road?
222,路口,qǐng zài lù kǒu tíng chē.,请在路口停车。,Please stop at the intersection.
223,路上,tā de chē zài lù shang huài le.,他的车在路上坏了。,His car broke down on the road.
224,妈妈 / 妈,wǒ mā ma tuì xiū le.,我妈妈退休了。,My mom is retired.
225,马路,xiǎo xīn guò mǎ lù.,小心过马路。,Be careful crossing the road.
226,马上,wǒ mǎ shàng fù kuǎn.,我马上付款。,I will pay right away.
227,吗,nǐ yào hē shuǐ ma？,你要喝水吗？,Do you want water?
228,买,nǐ yào mǎi shén me？,你要买什么？,What do you want to buy?
229,慢,màn yī diǎn.,慢一点。,Slow down.
230,忙,nǐ máng ma？,你忙吗？,Are you busy?
231,毛,zhè bēi chá bā kuài wǔ máo.,这杯茶八块五毛。,This cup of tea costs eight yuan and fifty cents.
232,没,tā méi xī yān.,他没吸烟。,He didn't smoke.
233,没关系,méi guān xi.,没关系。,It doesn't matter.
234,没什么,méi shén me.,没什么。,It's nothing.
235,没事儿,méi shìr.,没事儿。,It's okay / It's all rigtht.
236,没有,zhè lǐ méi yǒu chāo shì.,这里没有超市。,There is no supermarket here.
237,妹妹 / 妹,wǒ mèi mei bā suì le.,我妹妹八岁了。,My younger sister is eight years old.
238,门,nǐ suǒ mén le ma？,你锁门了吗？,Did you lock the door?
239,门口,bié zài mén kǒu wài miàn tíng chē.,别在门口外面停车。,Don't park outside the doorway.
240,门票,mén piào duō shao qián？,门票多少钱？,How much is the ticket?
241,们,wǒ xǐ huan hé péng you men yī qǐ liáo tiān.,我喜欢和朋友们一起聊天。,I like to chat with friends.
242,米饭,tā chī le sān wǎn mǐ fàn.,他吃了三碗米饭。,He ate three bowls of rice.
243,面包,nǐ huì kǎo miàn bāo ma？,你会烤面包吗？,Can you bake bread?
244,面条儿,nǐ xiǎng chī miàn tiáor ma？,你想吃面条儿吗？,Do you want some noodles?
245,名字,nǐ jiào shén me míng zi？,你叫什么名字？,What's your name?
246,明白,wǒ bù míng bai.,我不明白。,I don't understand.
247,明年,tā míng nián jié hūn.,他明年结婚。,He is getting married next year.
248,明天,míng tiān jiàn.,明天见。,See you tomorrow.
249,拿,nǐ ná hù zhào le ma？,你拿护照了吗？,Did you take your passport?
250,哪,nǐ yào nǎ gè？,你要哪个？,Which one do you want?
251,哪里,nǐ zài nǎ lǐ？,你在哪里？,Where are you?
252,哪儿,nǐ zhù zài nǎr？,你住在哪儿？,Where do you live?
253,哪些,nǎ xiē shì nǐ de？,哪些是你的？,Which ones are yours?
254,那,nà shì shén me？,那是什么？,What's that?
255,那边,tú shū guǎn zài nà bian.,图书馆在那边。,The library is over there.
256,那里,nà lǐ de tiān qì zěn me yàng？,那里的天气怎么样？,What's the weather like there?
257,那儿,nàr de tián diǎn hěn hǎo chī.,那儿的甜点很好吃。,The desserts there are delicious.
258,那些,nà xiē tián diǎn wǒ dōu xǐ huan.,那些甜点我都喜欢。,I like all those desserts.
259,奶,nǐ xǐ huan hē nǎi chá？,你喜欢喝奶茶？,Do you like to drink milk tea?
260,奶奶,tā shì yóu nǎi nai dài dà de.,他是由奶奶带大的。,He was brought up by his grandma.
261,男,yī yuàn lǐ nán hù shì hěn shǎo.,医院里男护士很少。,There are very few male nurses in the hospital.
262,男孩儿,nà gè nán háir zhēn kě ài.,那个男孩儿真可爱。,That boy is so cute
263,男朋友,tā yǒu nán péng you ma？,她有男朋友吗？,Does she have a boyfriend?
264,男人,nà gè nán rén shì shéi？,那个男人是谁？,Who is that man?
265,男生,nà gè nán shēng hěn gāo.,那个男生很高。,That boy is tall.
266,南,tā de fáng jiān cháo nán.,他的房间朝南。,His room faces south.
267,南边,chāo shì zài jiǔ diàn nán bian.,超市在酒店南边。,The supermarket is on the south side of the hotel.
268,难,nǐ jué de hàn yǔ nán ma？,你觉得汉语难吗？,Do you think Chinese is difficult?
269,呢,wǒ yào hē kā fēi， nǐ ne？,我要喝咖啡，你呢？,"I want coffee, how about you?"
270,能,tā néng lái.,他能来。,He can come.
271,你,nǐ yǒu xiǎo hái ma？,你有小孩吗？,Do you have children?
272,你们,nǐ men dōu shì xué sheng ma？,你们都是学生吗？,Are you all students?
273,年,tā lái zhōng guó wǔ nián le.,他来中国五年了。,He has been in China for five years.
274,您,nín shì nǎ wèi？,您是哪位？,Who are you?
275,牛奶,bīng xiāng lǐ méi yǒu niú nǎi le.,冰箱里没有牛奶了。,There is no milk in the fridge.
276,女,wǒ men xué xiào yǒu hěn duō nǚ lǎo shī.,我们学校有很多女老师。,There are many female teachers in our school.
277,女儿,nǐ de nǚ'ér jǐ suì le？,你的女儿几岁了？,How old is your daughter?
278,女孩儿,nǐ rèn shi nà gè nǚ háir ma？,你认识那个女孩儿吗？,Do you know that girl?
279,女朋友,nǐ yǒu nǚ péng you ma？,你有女朋友吗？,Do you have a girlfriend?
280,女人,nà gè nǚ rén shì shéi？,那个女人是谁？,Who is that woman?
281,女生,nà gè nǚ shēng hěn piào liang.,那个女生很漂亮。,That girl is beautiful.
282,旁边,kā fēi guǎn zài jiàn shēn fáng páng biān.,咖啡馆在健身房旁边。,The cafe is next to the gym.
283,跑,tā pǎo de kuài,他跑得快。,He runs fast.
284,朋友,zhè shì wǒ de péng you.,这是我的朋友。,This is my friend.
285,票,nǐ mǎi piào le ma？,你买票了吗？,Have you bought the ticket?
286,七,wǒ yào xiū xi qī tiān.,我要休息七天。,I'm taking seven days off.
287,起,wǒ míng tiān yào zǎo qǐ.,我明天要早起。,I'm going to get up early tomorrow.
288,起床,nǐ tōng cháng jǐ diǎn qǐ chuáng？,你通常几点起床？,What time do you usually get up?
289,起来,kuài qǐ lái！ yǐ jīng shí yī diǎn le.,快起来！已经十一点了。,Get up quickly! It's already eleven o'clock.
290,汽车,mǎ lù shàng yǒu hěn duō qì chē.,马路上有很多汽车。,There are many cars on the road.
291,前,nǐ de bāo guǒ zài mén qián.,你的包裹在门前。,Your package is in front of the door.
292,前边,jiǔ diàn qián bian yǒu yī gè gōng yuán.,酒店前边有一个公园。,There is a park in front of the hotel.
293,前天,wǒ qián tiān gěi tā fā le yóu jiàn.,我前天给他发了邮件。,I emailed him the day before yesterday.
294,钱,wǒ méi yǒu qián.,我没有钱。,I don't have money.
295,钱包,wǒ de qián bāo zài chē lǐ.,我的钱包在车里。,My wallet is in the car.
296,请,qǐng huí dá.,请回答。,Please answer.
297,请假,wǒ míng tiān xū yào qǐng jià.,我明天需要请假。,I need to ask for leave tomorrow.
298,请进,qǐng jìn.,请进。,Please come in.
299,请问,qǐng wèn dì tiě zhàn zài nǎ lǐ？,请问地铁站在哪里？,"Excuse me, where is the subway station?"
300,请坐,qǐng zuò.,请坐。,Please have a seat.
301,球,zhè shì shén me qiú？,这是什么球？,What type of ball is this?
302,去,tā qù nǎ lǐ le？,他去哪里了？,Where did he go?
303,去年,tā qù nián jié hūn le.,他去年结婚了。,He got married last year.
304,热,tài rè le！,太热了！,It's too hot!
305,人,dì tiě shàng yǒu hěn duō rén.,地铁上有很多人。,There are lots of people on the metro.
306,认识,nǐ rèn shi tā ma？,你认识他吗？,Do you know him?
307,认真,wǒ shì rèn zhēn de.,我是认真的。,I'm serious.
308,日,jīn tiān shì shí yuè yī rì.,今天是十月一日。,Today is the first day of October.
309,日期,hūn lǐ de rì qī dìng le ma？,婚礼的日期定了吗？,Has the wedding date been set?
310,肉,nǐ xǐ huan chī ròu ma？,你喜欢吃肉吗？,Do you like to eat meat?
311,三,wǒ yǒu sān tái shǒu jī.,我有三台手机。,I have three cell phones.
312,山,zhè zuò shān hěn měi.,这座山很美。,This mountain is beautiful.
313,商场,nǐ jiā fù jìn yǒu shāng chǎng ma？,你家附近有商场吗？,Is there a shopping mall near your home?
314,商店,nǐ xiǎng kāi yī jiā shāng diàn ma？,你想开一家商店吗？,Do you want to open a shop?
315,上,zhuō shàng yǒu yī xiē miàn bāo.,桌上有一些面包。,There is some bread on the table.
316,上班,nǐ tōng cháng jǐ diǎn shàng bān？,你通常几点上班？,What time do you usually go to work?
317,上边,nǐ de shū zài bīng xiāng shàng bian.,你的书在冰箱上边。,Your book is on top of the fridege.
318,上车,nǐ shàng chē le ma？,你上车了吗？,Did you get in the car?
319,上次,nǐ shàng cì chī zhōng guó cài shì shén me shí hou？,你上次吃中国菜是什么时候？,When was the last time you had Chinese food?
320,上课,nǐ jīn tiān yào shàng kè ma？,你今天要上课吗？,Are you going to have a class today?
321,上网,nǐ měi tiān shàng wǎng ma？,你每天上网吗？,Do you go online every day?
322,上午,nǐ míng tiān shàng wǔ yǒu kòng ma？,你明天上午有空吗？,Are you free tomorrow morning?
323,上学,nǐ zài nǎ lǐ shàng xué？,你在哪里上学？,Where do you go to school?
324,少,qǐng shǎo fàng dà suàn.,请少放大蒜。,Please put less garlic.
325,谁,shéi zài qiāo mén？,谁在敲门？,Who is knocking on the door?
326,身上,tā shēn shang yǒu yī zhǐ zhī zhū.,他身上有一只蜘蛛。,There is a spider on him (on his body).
327,身体,nǐ de shēn tǐ zěn me yàng？,你的身体怎么样？,How is your body? (How is your heath?)
328,什么,nǐ xiǎng chī shén me？,你想吃什么？,What do you want to eat?
329,生病,tā méi shēng bìng.,他没生病。,He didn't get sick.
330,生气,bié shēng qì.,别生气。,Don't get angry.
331,生日,shēng rì kuài lè！,生日快乐！,Happy birthday!
332,十,nǐ xiǎng xiū xi shí tiān ma？,你想休息十天吗？,Do you want to take ten days off?
